order_id,warehouse,product,order_date,ship_date
180,W6,Router,2024-02-29,2024-03-02
181,W4,Headphones,2024-03-01,2024-03-05
182,W5,Printer,2024-03-01,2024-03-07
183,W6,Router,2024-03-01,2024-03-03
184,W4,Speaker,2024-03-02,2024-03-06
185,W5,Camera,2024-03-02,2024-03-08
186,W6,Router,2024-03-02,2024-03-04
187,W4,Headphones,2024-03-03,2024-03-07
188,W5,Printer,2024-03-03,2024-03-09
189,W6,Router,2024-03-03,2024-03-05
190,W4,Speaker,2024-03-04,2024-03-08
191,W5,Camera,2024-03-04,2024-03-10
192,W6,Router,2024-03-04,2024-03-06
193,W4,Headphones,2024-03-05,2024-03-09
194,W5,Printer,2024-03-05,2024-03-11
195,W6,Router,2024-03-05,2024-03-07
196,W4,Speaker,2024-03-06,2024-03-10
197,W5,Camera,2024-03-06,2024-03-12
198,W6,Router,2024-03-06,2024-03-08
199,W4,Headphones,2024-03-07,2024-03-11
200,W5,Printer,2024-03-07,2024-03-13
