order_id,warehouse,product,order_date,ship_date
104,W3,Phone,2024-02-20,2024-02-25
105,W8,Smartwatch,2024-03-23,2024-03-30
106,W6,Camera,2024-02-18,2024-02-24
107,W5,Monitor,2024-02-25,2024-03-01
108,W4,Microphone,2024-01-23,2024-01-29
109,W2,Smartwatch,2024-01-18,2024-01-22
110,W2,Camera,2024-02-29,2024-03-04
111,W8,Headphones,2024-04-12,2024-04-19
112,W6,Microphone,2024-04-18,2024-04-19
113,W8,Printer,2024-03-13,2024-03-19
114,W4,Monitor,2024-04-23,2024-04-28
115,W6,Headphones,2024-01-19,2024-01-21
116,W7,Router,2024-02-12,2024-02-14
117,W4,GPU,2024-03-20,2024-03-23
118,W8,Headphones,2024-02-11,2024-02-12
119,W7,Router,2024-01-04,2024-01-05
120,W3,Headphones,2024-03-13,2024-03-19
121,W7,Monitor,2024-03-29,2024-04-03
122,W5,SSD,2024-02-08,2024-02-11
123,W4,Speaker,2024-03-24,2024-03-25
124,W8,Laptop,2024-03-17,2024-03-20
125,W2,Mouse,2024-04-14,2024-04-20
126,W7,Printer,2024-04-15,2024-04-22
127,W2,SSD,2024-02-05,2024-02-11
128,W3,Camera,2024-02-07,2024-02-12
129,W5,Phone,2024-04-15,2024-04-22
130,W7,Monitor,2024-01-22,2024-01-28
131,W4,Speaker,2024-03-21,2024-03-28
132,W3,Phone,2024-02-11,2024-02-16
133,W3,Keyboard,2024-01-30,2024-02-04
134,W5,Speaker,2024-02-05,2024-02-07
135,W8,GPU,2024-02-02,2024-02-03
136,W5,Phone,2024-01-19,2024-01-21
137,W1,Router,2024-02-08,2024-02-14
138,W6,Printer,2024-04-28,2024-04-29
139,W7,Camera,2024-02-24,2024-02-26
140,W7,Keyboard,2024-04-12,2024-04-15
141,W2,Speaker,2024-03-05,2024-03-11
142,W7,Microphone,2024-04-30,2024-05-02
143,W3,Camera,2024-01-09,2024-01-15
144,W7,Tablet,2024-01-18,2024-01-22
145,W4,SSD,2024-04-25,2024-04-29
146,W7,Keyboard,2024-04-02,2024-04-07
147,W5,Router,2024-01-24,2024-01-26
148,W4,Smartwatch,2024-03-15,2024-03-19
149,W6,Laptop,2024-04-26,2024-05-01
150,W2,Smartwatch,2024-04-25,2024-04-27
151,W8,Smartwatch,2024-01-09,2024-01-13
152,W5,Monitor,2024-02-13,2024-02-14
153,W8,SSD,2024-04-27,2024-05-02
154,W4,Keyboard,2024-01-11,2024-01-13
155,W8,Smartwatch,2024-02-01,2024-02-08
156,W2,Speaker,2024-04-01,2024-04-06
157,W1,Keyboard,2024-01-15,2024-01-17
158,W8,SSD,2024-01-26,2024-01-27
159,W8,Keyboard,2024-04-01,2024-04-03
160,W8,GPU,2024-02-09,2024-02-15
161,W5,Smartwatch,2024-03-07,2024-03-14
162,W7,Speaker,2024-01-03,2024-01-09
163,W4,Laptop,2024-04-30,2024-05-03
164,W4,SSD,2024-01-25,2024-01-26
165,W7,Tablet,2024-03-10,2024-03-12
166,W8,Microphone,2024-01-05,2024-01-07
167,W5,Microphone,2024-04-17,2024-04-19
168,W2,Camera,2024-02-25,2024-03-03
169,W7,Monitor,2024-02-08,2024-02-09
170,W8,Mouse,2024-03-28,2024-04-04
171,W7,Microphone,2024-02-01,2024-02-02
172,W3,GPU,2024-04-20,2024-04-27
173,W2,Microphone,2024-02-15,2024-02-17
174,W7,Printer,2024-03-25,2024-04-01
175,W6,GPU,2024-03-18,2024-03-24
176,W3,Tablet,2024-01-13,2024-01-20
177,W2,Smartwatch,2024-04-10,2024-04-12
178,W2,Monitor,2024-01-29,2024-02-03
179,W4,Speaker,2024-03-17,2024-03-19
180,W5,Printer,2024-02-29,2024-03-04
181,W3,Monitor,2024-02-01,2024-02-08
182,W8,Mouse,2024-01-18,2024-01-24
183,W8,Speaker,2024-03-05,2024-03-11
184,W2,Microphone,2024-01-03,2024-01-06
185,W8,Keyboard,2024-04-08,2024-04-10
186,W7,Smartwatch,2024-01-01,2024-01-07
187,W8,Microphone,2024-04-17,2024-04-23
188,W7,Laptop,2024-04-24,2024-04-26
189,W4,Phone,2024-04-14,2024-04-16
190,W7,Keyboard,2024-03-04,2024-03-10
191,W1,SSD,2024-04-18,2024-04-20
192,W5,Monitor,2024-04-14,2024-04-17
193,W7,Camera,2024-01-01,2024-01-05
194,W6,Camera,2024-04-25,2024-04-26
195,W8,Microphone,2024-02-18,2024-02-21
196,W5,Printer,2024-03-07,2024-03-12
197,W2,Camera,2024-01-08,2024-01-12
198,W1,Router,2024-03-17,2024-03-24
199,W7,Speaker,2024-04-27,2024-05-04
200,W8,Router,2024-04-10,2024-04-15
201,W1,Mouse,2024-04-30,2024-05-07
202,W7,Smartwatch,2024-03-29,2024-03-30
203,W1,Mouse,2024-02-26,2024-03-01
204,W5,Camera,2024-02-23,2024-02-24
205,W2,GPU,2024-01-02,2024-01-04
206,W5,Laptop,2024-01-07,2024-01-11
207,W5,Camera,2024-02-09,2024-02-14
208,W7,Phone,2024-02-11,2024-02-13
209,W1,SSD,2024-04-17,2024-04-21
210,W1,SSD,2024-01-31,2024-02-02
211,W4,Printer,2024-02-20,2024-02-23
212,W7,Phone,2024-02-25,2024-02-27
213,W8,Printer,2024-04-10,2024-04-13
214,W2,Microphone,2024-02-23,2024-02-29
215,W4,Mouse,2024-03-20,2024-03-25
216,W4,Printer,2024-02-03,2024-02-09
217,W4,Headphones,2024-04-19,2024-04-22
218,W2,Headphones,2024-04-23,2024-04-25
219,W1,Printer,2024-04-24,2024-05-01
220,W7,Speaker,2024-03-29,2024-04-02
221,W2,Speaker,2024-03-25,2024-03-28
222,W2,Keyboard,2024-01-01,2024-01-02
223,W6,Headphones,2024-04-19,2024-04-25
224,W8,Microphone,2024-04-12,2024-04-15
225,W1,SSD,2024-03-13,2024-03-14
226,W3,Keyboard,2024-01-23,2024-01-27
227,W5,Microphone,2024-03-29,2024-04-05
228,W1,GPU,2024-03-20,2024-03-23
229,W8,GPU,2024-01-04,2024-01-09
230,W3,Keyboard,2024-04-22,2024-04-26
231,W5,GPU,2024-04-19,2024-04-26
232,W8,Tablet,2024-04-04,2024-04-08
233,W7,Phone,2024-03-25,2024-03-27
234,W4,Laptop,2024-03-24,2024-03-27
235,W2,Phone,2024-04-17,2024-04-23
236,W8,Smartwatch,2024-03-19,2024-03-23
237,W6,SSD,2024-01-11,2024-01-14
238,W7,Headphones,2024-01-16,2024-01-21
239,W7,Microphone,2024-01-21,2024-01-25
240,W1,Headphones,2024-02-07,2024-02-11
241,W4,Speaker,2024-04-05,2024-04-11
242,W8,Headphones,2024-01-18,2024-01-21
243,W4,Smartwatch,2024-01-07,2024-01-09
244,W3,Tablet,2024-03-02,2024-03-05
245,W4,Mouse,2024-04-09,2024-04-16
246,W5,Phone,2024-01-12,2024-01-14
247,W5,Laptop,2024-03-06,2024-03-08
248,W7,Smartwatch,2024-02-26,2024-03-02
249,W1,Printer,2024-02-29,2024-03-02
250,W3,Phone,2024-04-06,2024-04-08
251,W4,Camera,2024-04-14,2024-04-15
252,W3,Laptop,2024-03-18,2024-03-20
253,W4,GPU,2024-02-18,2024-02-22
254,W2,SSD,2024-02-08,2024-02-13
255,W1,Smartwatch,2024-03-24,2024-03-25
256,W1,GPU,2024-01-14,2024-01-19
257,W2,Laptop,2024-02-24,2024-02-29
258,W8,Camera,2024-03-22,2024-03-26
259,W2,GPU,2024-03-24,2024-03-27
260,W2,Headphones,2024-03-20,2024-03-26
261,W3,GPU,2024-02-15,2024-02-21
262,W7,SSD,2024-04-18,2024-04-20
263,W7,Phone,2024-04-17,2024-04-18
264,W1,Microphone,2024-03-18,2024-03-22
265,W5,Monitor,2024-02-02,2024-02-07
266,W1,Tablet,2024-04-26,2024-04-27
267,W6,Printer,2024-02-18,2024-02-20
268,W6,Printer,2024-01-04,2024-01-06
269,W1,Tablet,2024-03-03,2024-03-08
270,W2,Mouse,2024-02-07,2024-02-09
271,W7,Monitor,2024-03-28,2024-04-01
272,W5,Microphone,2024-04-19,2024-04-26
273,W7,Microphone,2024-04-25,2024-05-02
274,W5,Router,2024-02-10,2024-02-11
275,W6,SSD,2024-01-10,2024-01-15
276,W6,SSD,2024-04-29,2024-05-01
277,W8,Printer,2024-04-07,2024-04-11
278,W5,Laptop,2024-04-06,2024-04-11
279,W6,Tablet,2024-02-23,2024-02-25
280,W6,Smartwatch,2024-04-06,2024-04-10
281,W8,Camera,2024-02-03,2024-02-06
282,W3,Phone,2024-02-11,2024-02-13
283,W1,Smartwatch,2024-03-01,2024-03-04
284,W1,Laptop,2024-02-09,2024-02-14
285,W1,Speaker,2024-02-13,2024-02-17
286,W5,Phone,2024-03-08,2024-03-14
287,W7,Phone,2024-04-25,2024-04-28
288,W6,Tablet,2024-01-29,2024-01-31
289,W8,Tablet,2024-01-31,2024-02-06
290,W7,SSD,2024-01-10,2024-01-13
291,W1,Router,2024-02-12,2024-02-13
292,W7,Laptop,2024-04-15,2024-04-16
293,W2,Camera,2024-02-28,2024-03-02
294,W5,SSD,2024-01-16,2024-01-17
295,W3,Tablet,2024-02-29,2024-03-03
296,W3,Speaker,2024-02-19,2024-02-23
297,W1,Keyboard,2024-01-27,2024-02-02
298,W5,Printer,2024-02-26,2024-03-03
299,W5,Router,2024-03-30,2024-03-31
300,W1,Router,2024-03-21,2024-03-28
301,W3,GPU,2024-02-15,2024-02-19
302,W6,Monitor,2024-03-16,2024-03-21
303,W1,Monitor,2024-04-25,2024-04-29
304,W5,GPU,2024-01-11,2024-01-17
305,W7,Laptop,2024-01-18,2024-01-21
306,W4,Router,2024-04-16,2024-04-21
307,W5,GPU,2024-03-10,2024-03-12
308,W7,Laptop,2024-04-29,2024-05-01
309,W7,Speaker,2024-02-23,2024-02-25
310,W1,Router,2024-04-22,2024-04-26
311,W2,Camera,2024-02-13,2024-02-17
312,W1,Phone,2024-04-30,2024-05-06
313,W1,Router,2024-03-22,2024-03-23
314,W3,Headphones,2024-01-27,2024-02-02
315,W7,Monitor,2024-02-14,2024-02-18
316,W7,Smartwatch,2024-01-18,2024-01-23
317,W5,Laptop,2024-03-16,2024-03-19
318,W3,Headphones,2024-01-14,2024-01-21
319,W6,Router,2024-03-26,2024-03-28
320,W4,Headphones,2024-01-12,2024-01-14
321,W3,Laptop,2024-04-02,2024-04-04
322,W1,Printer,2024-04-06,2024-04-11
323,W2,Tablet,2024-03-31,2024-04-07
324,W3,Speaker,2024-03-12,2024-03-19
325,W2,Microphone,2024-01-14,2024-01-16
326,W5,Printer,2024-01-26,2024-01-28
327,W4,GPU,2024-02-06,2024-02-07
328,W2,Microphone,2024-04-29,2024-04-30
329,W1,Speaker,2024-04-13,2024-04-15
330,W8,Keyboard,2024-04-22,2024-04-27
331,W8,Headphones,2024-04-23,2024-04-25
332,W7,Laptop,2024-03-31,2024-04-06
333,W5,Speaker,2024-04-07,2024-04-09
334,W1,Microphone,2024-02-16,2024-02-19
335,W2,Smartwatch,2024-02-08,2024-02-12
336,W7,Phone,2024-04-17,2024-04-18
337,W5,SSD,2024-03-19,2024-03-26
338,W6,Phone,2024-03-14,2024-03-16
339,W2,Printer,2024-01-28,2024-02-03
340,W8,SSD,2024-01-16,2024-01-23
341,W6,Headphones,2024-04-02,2024-04-08
342,W8,Mouse,2024-04-06,2024-04-11
343,W1,Camera,2024-03-06,2024-03-12
344,W4,Tablet,2024-01-07,2024-01-09
345,W5,Headphones,2024-01-05,2024-01-09
346,W4,Camera,2024-04-10,2024-04-15
347,W4,Microphone,2024-01-30,2024-02-03
348,W8,GPU,2024-02-15,2024-02-21
349,W6,SSD,2024-04-22,2024-04-27
350,W4,Phone,2024-01-12,2024-01-14
351,W7,Keyboard,2024-01-17,2024-01-21
352,W4,Tablet,2024-02-17,2024-02-18
353,W2,Microphone,2024-02-20,2024-02-23
354,W7,Keyboard,2024-03-20,2024-03-22
355,W8,Phone,2024-03-15,2024-03-18
356,W8,Printer,2024-01-19,2024-01-21
357,W4,Speaker,2024-03-27,2024-04-02
358,W5,Microphone,2024-04-16,2024-04-20
359,W5,Keyboard,2024-03-20,2024-03-21
360,W1,Tablet,2024-01-30,2024-02-06
361,W2,Microphone,2024-01-17,2024-01-21
362,W1,Router,2024-02-11,2024-02-15
363,W3,Microphone,2024-01-08,2024-01-13
364,W3,SSD,2024-02-11,2024-02-13
365,W3,Microphone,2024-02-21,2024-02-24
366,W4,Headphones,2024-03-26,2024-03-29
367,W3,Smartwatch,2024-03-12,2024-03-15
368,W3,Phone,2024-03-03,2024-03-06
369,W6,Printer,2024-03-16,2024-03-22
370,W8,Monitor,2024-02-21,2024-02-28
371,W6,Speaker,2024-02-21,2024-02-27
372,W5,Headphones,2024-03-01,2024-03-06
373,W8,Printer,2024-04-03,2024-04-06
374,W7,Microphone,2024-03-25,2024-03-27
375,W2,Smartwatch,2024-02-23,2024-02-24
376,W1,Printer,2024-03-25,2024-03-30
377,W2,Tablet,2024-03-23,2024-03-27
378,W4,Smartwatch,2024-02-01,2024-02-08
379,W2,Router,2024-04-11,2024-04-14
380,W4,Router,2024-03-24,2024-03-31
381,W2,Tablet,2024-01-10,2024-01-15
382,W1,Smartwatch,2024-04-12,2024-04-19
383,W8,Camera,2024-01-01,2024-01-07
384,W2,Camera,2024-04-08,2024-04-14
385,W5,Speaker,2024-03-10,2024-03-11
386,W4,Speaker,2024-04-20,2024-04-22
387,W7,Router,2024-02-17,2024-02-23
388,W6,GPU,2024-03-31,2024-04-05
389,W6,Camera,2024-04-09,2024-04-10
390,W4,Tablet,2024-01-22,2024-01-25
391,W8,Monitor,2024-04-06,2024-04-12
392,W4,Tablet,2024-02-28,2024-03-01
393,W3,Printer,2024-02-27,2024-03-03
394,W7,Printer,2024-01-25,2024-01-29
395,W5,Phone,2024-04-11,2024-04-12
396,W6,Keyboard,2024-03-21,2024-03-26
397,W5,Monitor,2024-04-30,2024-05-04
398,W3,Monitor,2024-04-01,2024-04-06
399,W1,Tablet,2024-04-09,2024-04-12
400,W1,Headphones,2024-02-18,2024-02-24
401,W3,Phone,2024-03-01,2024-03-03
402,W6,Mouse,2024-02-24,2024-02-29
403,W6,Printer,2024-01-05,2024-01-11
404,W3,Keyboard,2024-03-23,2024-03-28
405,W6,Speaker,2024-04-13,2024-04-17
406,W8,Laptop,2024-04-18,2024-04-25
407,W4,SSD,2024-03-29,2024-04-05
408,W3,Keyboard,2024-01-09,2024-01-15
409,W2,Camera,2024-04-09,2024-04-15
410,W3,Headphones,2024-02-22,2024-02-28
411,W5,SSD,2024-02-27,2024-02-28
412,W3,Keyboard,2024-04-27,2024-04-29
413,W1,Monitor,2024-01-02,2024-01-09
414,W3,Camera,2024-04-25,2024-05-02
415,W3,Smartwatch,2024-02-16,2024-02-18
416,W5,Tablet,2024-04-03,2024-04-05
417,W5,Camera,2024-02-11,2024-02-13
418,W8,Router,2024-04-14,2024-04-18
419,W3,Headphones,2024-02-25,2024-02-26
420,W7,Printer,2024-02-23,2024-02-29
421,W8,Phone,2024-03-15,2024-03-20
422,W5,SSD,2024-03-07,2024-03-08
423,W5,Monitor,2024-01-02,2024-01-09
424,W3,Microphone,2024-03-02,2024-03-08
425,W7,Mouse,2024-02-01,2024-02-04
426,W5,Laptop,2024-03-24,2024-03-26
427,W1,Tablet,2024-02-10,2024-02-15
428,W1,Camera,2024-01-03,2024-01-04
429,W1,Router,2024-02-09,2024-02-15
430,W7,Tablet,2024-03-13,2024-03-20
431,W1,Phone,2024-03-20,2024-03-22
432,W7,Keyboard,2024-01-28,2024-02-03
433,W2,Printer,2024-04-13,2024-04-19
434,W7,Monitor,2024-01-04,2024-01-05
435,W6,Microphone,2024-03-13,2024-03-19
436,W5,Router,2024-04-21,2024-04-28
437,W2,Tablet,2024-03-15,2024-03-16
438,W8,GPU,2024-02-07,2024-02-11
439,W8,Printer,2024-04-27,2024-05-02
440,W1,Mouse,2024-03-01,2024-03-02
441,W5,Phone,2024-01-21,2024-01-22
442,W3,Microphone,2024-02-20,2024-02-24
443,W7,Router,2024-04-18,2024-04-21
444,W5,Phone,2024-02-21,2024-02-25
445,W3,Mouse,2024-02-13,2024-02-19
446,W2,Headphones,2024-02-13,2024-02-20
447,W7,Speaker,2024-01-28,2024-02-01
448,W4,Keyboard,2024-04-16,2024-04-18
449,W6,Monitor,2024-01-11,2024-01-13
450,W7,Tablet,2024-04-02,2024-04-07
451,W6,Router,2024-04-18,2024-04-21
452,W2,Laptop,2024-01-12,2024-01-15
453,W6,Printer,2024-01-22,2024-01-24
454,W8,Smartwatch,2024-03-19,2024-03-23
455,W3,Tablet,2024-03-18,2024-03-19
456,W4,Smartwatch,2024-02-07,2024-02-13
457,W7,Printer,2024-02-06,2024-02-10
458,W6,Phone,2024-02-02,2024-02-06
459,W6,Monitor,2024-01-12,2024-01-18
460,W1,GPU,2024-01-10,2024-01-16
461,W1,Router,2024-02-13,2024-02-19
462,W7,Microphone,2024-03-30,2024-03-31
463,W7,Microphone,2024-01-28,2024-01-30
464,W2,Microphone,2024-04-16,2024-04-21
465,W4,Keyboard,2024-01-07,2024-01-09
466,W8,Smartwatch,2024-03-10,2024-03-11
467,W6,Printer,2024-03-10,2024-03-15
468,W1,Speaker,2024-01-27,2024-02-03
469,W2,Headphones,2024-03-03,2024-03-07
470,W2,Keyboard,2024-03-20,2024-03-22
471,W4,Headphones,2024-02-28,2024-02-29
472,W2,Tablet,2024-01-16,2024-01-21
473,W7,GPU,2024-04-15,2024-04-18
474,W6,Headphones,2024-03-15,2024-03-17
475,W6,Printer,2024-01-02,2024-01-03
476,W2,SSD,2024-01-24,2024-01-26
477,W3,Speaker,2024-01-19,2024-01-22
478,W3,SSD,2024-03-16,2024-03-19
479,W7,Smartwatch,2024-02-08,2024-02-14
480,W7,Printer,2024-04-23,2024-04-28
481,W1,GPU,2024-04-13,2024-04-19
482,W3,Headphones,2024-02-21,2024-02-23
483,W7,Printer,2024-03-02,2024-03-04
484,W3,SSD,2024-03-29,2024-04-05
485,W7,Router,2024-02-25,2024-02-29
486,W6,Headphones,2024-04-24,2024-04-26
487,W8,Smartwatch,2024-02-06,2024-02-13
488,W1,SSD,2024-01-16,2024-01-22
489,W4,Router,2024-01-13,2024-01-15
490,W2,Smartwatch,2024-01-21,2024-01-27
491,W6,Keyboard,2024-01-04,2024-01-07
492,W1,Laptop,2024-01-08,2024-01-10
493,W5,Phone,2024-03-11,2024-03-18
494,W2,Headphones,2024-03-02,2024-03-08
495,W5,Laptop,2024-02-18,2024-02-20
496,W2,Headphones,2024-04-10,2024-04-17
497,W3,Mouse,2024-04-11,2024-04-16
498,W2,Camera,2024-04-01,2024-04-08
499,W2,Router,2024-01-14,2024-01-20
500,W8,Monitor,2024-03-20,2024-03-25
501,W3,Tablet,2024-03-12,2024-03-16
502,W3,Camera,2024-02-19,2024-02-24
503,W6,Camera,2024-03-22,2024-03-29
504,W3,Smartwatch,2024-04-22,2024-04-25
505,W5,Laptop,2024-02-18,2024-02-20
506,W5,Router,2024-01-29,2024-02-05
507,W8,Smartwatch,2024-03-14,2024-03-17
508,W5,Camera,2024-02-01,2024-02-06
509,W5,Microphone,2024-03-22,2024-03-27
510,W7,Router,2024-04-11,2024-04-13
511,W6,Keyboard,2024-04-15,2024-04-17
512,W6,Mouse,2024-01-05,2024-01-06
513,W4,Camera,2024-04-22,2024-04-26
514,W2,Mouse,2024-04-28,2024-05-05
515,W2,Microphone,2024-03-20,2024-03-22
516,W8,Mouse,2024-02-03,2024-02-06
517,W8,Mouse,2024-02-22,2024-02-29
518,W8,Camera,2024-04-08,2024-04-15
519,W8,Headphones,2024-03-26,2024-03-30
520,W4,Smartwatch,2024-01-02,2024-01-03
521,W1,Camera,2024-01-17,2024-01-23
522,W2,Monitor,2024-03-27,2024-03-28
523,W7,Phone,2024-02-28,2024-03-02
524,W6,Microphone,2024-02-01,2024-02-03
525,W7,Monitor,2024-02-06,2024-02-10
526,W5,Router,2024-02-26,2024-02-28
527,W7,Keyboard,2024-04-11,2024-04-12
528,W4,Smartwatch,2024-03-26,2024-03-31
529,W7,Printer,2024-03-18,2024-03-24
530,W8,Tablet,2024-04-03,2024-04-05
531,W4,Printer,2024-01-25,2024-02-01
532,W3,Microphone,2024-01-02,2024-01-05
533,W1,Mouse,2024-03-14,2024-03-19
534,W1,Laptop,2024-02-03,2024-02-10
535,W3,Microphone,2024-01-25,2024-01-29
536,W8,Headphones,2024-02-07,2024-02-11
537,W7,Keyboard,2024-03-11,2024-03-14
538,W5,Tablet,2024-02-22,2024-02-28
539,W8,Headphones,2024-02-18,2024-02-24
540,W1,Speaker,2024-01-02,2024-01-07
541,W8,Mouse,2024-03-06,2024-03-09
542,W7,Phone,2024-03-20,2024-03-23
543,W6,Microphone,2024-03-18,2024-03-25
544,W6,Smartwatch,2024-02-17,2024-02-23
545,W8,Headphones,2024-04-13,2024-04-20
546,W2,Monitor,2024-01-22,2024-01-24
547,W7,Printer,2024-02-14,2024-02-15
548,W1,GPU,2024-01-12,2024-01-18
549,W3,Phone,2024-02-03,2024-02-10
550,W5,Router,2024-04-20,2024-04-23
551,W5,Keyboard,2024-04-15,2024-04-16
552,W8,Phone,2024-04-05,2024-04-11
553,W4,Smartwatch,2024-02-22,2024-02-23
554,W8,Router,2024-02-26,2024-03-01
555,W3,Camera,2024-04-13,2024-04-20
556,W3,Headphones,2024-04-27,2024-05-01
557,W5,Mouse,2024-02-26,2024-02-27
558,W7,Phone,2024-02-18,2024-02-22
559,W3,Microphone,2024-02-29,2024-03-04
560,W4,Speaker,2024-03-24,2024-03-30
561,W2,Smartwatch,2024-02-19,2024-02-24
562,W8,Microphone,2024-02-24,2024-02-25
563,W1,Printer,2024-04-07,2024-04-13
564,W4,Smartwatch,2024-01-14,2024-01-18
565,W5,Smartwatch,2024-02-05,2024-02-06
566,W5,Tablet,2024-01-26,2024-01-28
567,W4,Camera,2024-02-22,2024-02-23
568,W6,Tablet,2024-03-27,2024-04-02
569,W7,Speaker,2024-03-06,2024-03-09
570,W7,Speaker,2024-03-03,2024-03-10
571,W1,GPU,2024-04-27,2024-04-28
572,W4,Headphones,2024-02-14,2024-02-20
573,W5,Phone,2024-03-06,2024-03-07
574,W7,Speaker,2024-01-22,2024-01-25
575,W8,Monitor,2024-03-29,2024-04-02
576,W5,Speaker,2024-03-13,2024-03-15
577,W8,Headphones,2024-04-26,2024-05-02
578,W4,Router,2024-02-24,2024-02-25
579,W6,Smartwatch,2024-03-19,2024-03-21
580,W7,Phone,2024-04-16,2024-04-23
581,W2,SSD,2024-04-07,2024-04-12
582,W6,Phone,2024-03-27,2024-03-30
583,W1,Microphone,2024-01-26,2024-02-02
584,W6,Camera,2024-03-03,2024-03-04
585,W7,GPU,2024-03-09,2024-03-16
586,W4,Speaker,2024-03-26,2024-03-30
587,W7,SSD,2024-04-27,2024-04-28
588,W5,Monitor,2024-04-07,2024-04-14
